Product_id,Selling_Price
SCHE4YSTDVPVZVXW,3268.024412100002
ACCEGCATKHNRXUHW,1941.322973980001
NKCE6GJ5XVJDXNNZ,11799.76931554
NKCEB8BK3ZXDHDHM,9414.251563909997
TOPEFDXSAHRNPF94,5606.380367039997
ACCE558KZHEPZYMG,9433.182330699996
ACCEAZCVAMFHDPY7,5293.843326860003
NKCDYNY37JPBGBVM,2582.2553215800012
NKCEY8KWY33FCUYD,7631.086681860001
RNGE4YPTQYRECV9J,4537.365167269998
NKCE88AHBHJZREXH,3873.2845726200026
CLTEJ5ZZGBP4JGGE,8022.043558940003
WATE3NWH5FZWAMDA,8103.854953650004
CAGE53FSFZVFPFHQ,1641.7830175700003
PCSEAKVBFFPGCHNZ,3828.4477154355573
WATDFFH3KJYBTYGG,7202.92818384
NKCDWHFQSCHHYZMP,2757.05345474
RNGEB2PG3Q5RKDW6,3458.086816619999
NKCE5UY9HHPZGGUZ,4438.248118461904
KTAEHETW3ZCMFMJR,4188.9910965280005
BRAEBBYRVF9MHJHU,7715.84238496
NKCEAX7HAQ2RJA3Q,10253.729253089998
CRTECN2RQZWBSP9W,4920.085496509995
WATDEWZ9UHSEHGZG,9325.368703100003
PTPEYW8HNV6G9YYR,2840.847724043334
ACCEAMGZRRYVAHDC,4975.538053369996
SRTEHHXG8MUXTGPA,5935.687143419998
SKIE4S4NN4MHYM3Z,5205.858015790001
HMBE7G34YHWPWKYN,7109.463504949995
LLIEGTMFJBD7ZZZM,13899.161341900008
ACCEJGH6JVTM4CBH,833.2120454669996
ACCDQDYBXJ9HZF37,10136.221099709988
RNGE88FRGZCXNKUG,658.5972174975002
NKCE7M3QNNPZDXHQ,10233.326229749997
VLBEGFFDP9H6WG2T,3529.5278184200015
TOPEAFG4YEQSH5TT,2428.6226301799998
WATEYAP3K2QQQWDH,5154.75695992
PCSEBDFUFJWGARNX,10674.850208049995
SWTEGXQFZY95SKG7,4852.201125826665
BRAEGJFXSM9ZQ6SK,6955.1676816200015
CAGE6FYKP34GA4GF,7460.37808779
